Model,CarType,Category,year,months,sales
NPZ,COLTPLUS,乘用車,2018,1,494
NPZ,COLTPLUS,乘用車,2018,2,395
NPZ,COLTPLUS,乘用車,2018,3,388
NPZ,COLTPLUS,乘用車,2018,4,227
NPZ,COLTPLUS,乘用車,2018,5,347
NPZ,COLTPLUS,乘用車,2018,6,432
NPZ,COLTPLUS,乘用車,2018,7,529
NPZ,COLTPLUS,乘用車,2018,8,307
NPZ,COLTPLUS,乘用車,2018,9,240
NPZ,COLTPLUS,乘用車,2018,10,275
NPZ,COLTPLUS,乘用車,2018,11,262
NPZ,COLTPLUS,乘用車,2018,12,507
SR,LANCER,乘用車,2018,1,242
SR,LANCER,乘用車,2018,2,179
SR,LANCER,乘用車,2018,3,256
SR,LANCER,乘用車,2018,4,193
SR,LANCER,乘用車,2018,5,215
SR,LANCER,乘用車,2018,6,188
SR,LANCER,乘用車,2018,7,208
SR,LANCER,乘用車,2018,8,111
SR,LANCER,乘用車,2018,9,93
SR,LANCER,乘用車,2018,10,141
SR,LANCER,乘用車,2018,11,182
SR,LANCER,乘用車,2018,12,140
RE,OUTLANDER,乘用車,2018,1,540
RE,OUTLANDER,乘用車,2018,2,256
RE,OUTLANDER,乘用車,2018,3,286
RE,OUTLANDER,乘用車,2018,4,280
RE,OUTLANDER,乘用車,2018,5,411
RE,OUTLANDER,乘用車,2018,6,456
RE,OUTLANDER,乘用車,2018,7,562
RE,OUTLANDER,乘用車,2018,8,335
RE,OUTLANDER,乘用車,2018,9,229
RE,OUTLANDER,乘用車,2018,10,322
RE,OUTLANDER,乘用車,2018,11,418
RE,OUTLANDER,乘用車,2018,12,454
AS,ZINGER,乘用車,2018,1,1021
AS,ZINGER,乘用車,2018,2,569
AS,ZINGER,乘用車,2018,3,685
AS,ZINGER,乘用車,2018,4,665
AS,ZINGER,乘用車,2018,5,740
AS,ZINGER,乘用車,2018,6,775
AS,ZINGER,乘用車,2018,7,919
AS,ZINGER,乘用車,2018,8,591
AS,ZINGER,乘用車,2018,9,425
AS,ZINGER,乘用車,2018,10,555
AS,ZINGER,乘用車,2018,11,574
AS,ZINGER,乘用車,2018,12,633
DE,DELICA(廂車),商用車,2018,1,193
DE,DELICA(廂車),商用車,2018,2,102
DE,DELICA(廂車),商用車,2018,3,198
DE,DELICA(廂車),商用車,2018,4,222
DE,DELICA(廂車),商用車,2018,5,180
DE,DELICA(廂車),商用車,2018,6,202
DE,DELICA(廂車),商用車,2018,7,194
DE,DELICA(廂車),商用車,2018,8,345
DE,DELICA(廂車),商用車,2018,9,181
DE,DELICA(廂車),商用車,2018,10,163
DE,DELICA(廂車),商用車,2018,11,181
DE,DELICA(廂車),商用車,2018,12,115
DET,DELICA(貨車),商用車,2018,1,724
DET,DELICA(貨車),商用車,2018,2,427
DET,DELICA(貨車),商用車,2018,3,783
DET,DELICA(貨車),商用車,2018,4,569
DET,DELICA(貨車),商用車,2018,5,519
DET,DELICA(貨車),商用車,2018,6,564
DET,DELICA(貨車),商用車,2018,7,632
DET,DELICA(貨車),商用車,2018,8,368
DET,DELICA(貨車),商用車,2018,9,545
DET,DELICA(貨車),商用車,2018,10,468
DET,DELICA(貨車),商用車,2018,11,531
DET,DELICA(貨車),商用車,2018,12,279
JDP,A190,商用車,2018,1,
JDP,A190,商用車,2018,2,
JDP,A190,商用車,2018,3,
JDP,A190,商用車,2018,4,
JDP,A190,商用車,2018,5,
JDP,A190,商用車,2018,6,
JDP,A190,商用車,2018,7,
JDP,A190,商用車,2018,8,
JDP,A190,商用車,2018,9,
JDP,A190,商用車,2018,10,814
JDP,A190,商用車,2018,11,795
JDP,A190,商用車,2018,12,503
JDV,A180,商用車,2018,1,
JDV,A180,商用車,2018,2,
JDV,A180,商用車,2018,3,
JDV,A180,商用車,2018,4,
JDV,A180,商用車,2018,5,
JDV,A180,商用車,2018,6,
JDV,A180,商用車,2018,7,
JDV,A180,商用車,2018,8,
JDV,A180,商用車,2018,9,
JDV,A180,商用車,2018,10,169
JDV,A180,商用車,2018,11,289
JDV,A180,商用車,2018,12,222
NPZ,COLTPLUS,乘用車,2019,1,618
NPZ,COLTPLUS,乘用車,2019,2,257
NPZ,COLTPLUS,乘用車,2019,3,290
NPZ,COLTPLUS,乘用車,2019,4,238
NPZ,COLTPLUS,乘用車,2019,5,394
NPZ,COLTPLUS,乘用車,2019,6,411
NPZ,COLTPLUS,乘用車,2019,7,640
NPZ,COLTPLUS,乘用車,2019,8,124
NPZ,COLTPLUS,乘用車,2019,9,287
NPZ,COLTPLUS,乘用車,2019,10,202
NPZ,COLTPLUS,乘用車,2019,11,354
NPZ,COLTPLUS,乘用車,2019,12,472
SR,LANCER,乘用車,2019,1,213
SR,LANCER,乘用車,2019,2,72
SR,LANCER,乘用車,2019,3,133
SR,LANCER,乘用車,2019,4,99
SR,LANCER,乘用車,2019,5,244
SR,LANCER,乘用車,2019,6,200
SR,LANCER,乘用車,2019,7,180
SR,LANCER,乘用車,2019,8,8
SR,LANCER,乘用車,2019,9,158
SR,LANCER,乘用車,2019,10,201
SR,LANCER,乘用車,2019,11,133
SR,LANCER,乘用車,2019,12,164
RE,OUTLANDER,乘用車,2019,1,577
RE,OUTLANDER,乘用車,2019,2,175
RE,OUTLANDER,乘用車,2019,3,331
RE,OUTLANDER,乘用車,2019,4,257
RE,OUTLANDER,乘用車,2019,5,372
RE,OUTLANDER,乘用車,2019,6,450
RE,OUTLANDER,乘用車,2019,7,501
RE,OUTLANDER,乘用車,2019,8,69
RE,OUTLANDER,乘用車,2019,9,184
RE,OUTLANDER,乘用車,2019,10,365
RE,OUTLANDER,乘用車,2019,11,365
RE,OUTLANDER,乘用車,2019,12,284
AS,ZINGER,乘用車,2019,1,921
AS,ZINGER,乘用車,2019,2,403
AS,ZINGER,乘用車,2019,3,600
AS,ZINGER,乘用車,2019,4,679
AS,ZINGER,乘用車,2019,5,759
AS,ZINGER,乘用車,2019,6,726
AS,ZINGER,乘用車,2019,7,909
AS,ZINGER,乘用車,2019,8,282
AS,ZINGER,乘用車,2019,9,496
AS,ZINGER,乘用車,2019,10,587
AS,ZINGER,乘用車,2019,11,549
AS,ZINGER,乘用車,2019,12,639
DE,DELICA(廂車),商用車,2019,1,192
DE,DELICA(廂車),商用車,2019,2,110
DE,DELICA(廂車),商用車,2019,3,127
DE,DELICA(廂車),商用車,2019,4,150
DE,DELICA(廂車),商用車,2019,5,147
DE,DELICA(廂車),商用車,2019,6,144
DE,DELICA(廂車),商用車,2019,7,327
DE,DELICA(廂車),商用車,2019,8,92
DE,DELICA(廂車),商用車,2019,9,216
DE,DELICA(廂車),商用車,2019,10,282
DE,DELICA(廂車),商用車,2019,11,222
DE,DELICA(廂車),商用車,2019,12,173
DET,DELICA(貨車),商用車,2019,1,601
DET,DELICA(貨車),商用車,2019,2,334
DET,DELICA(貨車),商用車,2019,3,501
DET,DELICA(貨車),商用車,2019,4,519
DET,DELICA(貨車),商用車,2019,5,485
DET,DELICA(貨車),商用車,2019,6,434
DET,DELICA(貨車),商用車,2019,7,462
DET,DELICA(貨車),商用車,2019,8,403
DET,DELICA(貨車),商用車,2019,9,605
DET,DELICA(貨車),商用車,2019,10,576
DET,DELICA(貨車),商用車,2019,11,544
DET,DELICA(貨車),商用車,2019,12,373
JDP,A190,商用車,2019,1,1212
JDP,A190,商用車,2019,2,624
JDP,A190,商用車,2019,3,905
JDP,A190,商用車,2019,4,934
JDP,A190,商用車,2019,5,841
JDP,A190,商用車,2019,6,1066
JDP,A190,商用車,2019,7,1117
JDP,A190,商用車,2019,8,460
JDP,A190,商用車,2019,9,1068
JDP,A190,商用車,2019,10,1050
JDP,A190,商用車,2019,11,854
JDP,A190,商用車,2019,12,934
JDV,A180,商用車,2019,1,284
JDV,A180,商用車,2019,2,171
JDV,A180,商用車,2019,3,250
JDV,A180,商用車,2019,4,223
JDV,A180,商用車,2019,5,299
JDV,A180,商用車,2019,6,381
JDV,A180,商用車,2019,7,379
JDV,A180,商用車,2019,8,108
JDV,A180,商用車,2019,9,348
JDV,A180,商用車,2019,10,329
JDV,A180,商用車,2019,11,234
JDV,A180,商用車,2019,12,170
NPZ,COLTPLUS,乘用車,2020,1,439
NPZ,COLTPLUS,乘用車,2020,2,222
NPZ,COLTPLUS,乘用車,2020,3,380
NPZ,COLTPLUS,乘用車,2020,4,304
NPZ,COLTPLUS,乘用車,2020,5,400
NPZ,COLTPLUS,乘用車,2020,6,598
NPZ,COLTPLUS,乘用車,2020,7,673
NPZ,COLTPLUS,乘用車,2020,8,502
NPZ,COLTPLUS,乘用車,2020,9,378
NPZ,COLTPLUS,乘用車,2020,10,428
NPZ,COLTPLUS,乘用車,2020,11,550
NPZ,COLTPLUS,乘用車,2020,12,459
SR,LANCER,乘用車,2020,1,151
SR,LANCER,乘用車,2020,2,90
SR,LANCER,乘用車,2020,3,129
SR,LANCER,乘用車,2020,4,109
SR,LANCER,乘用車,2020,5,169
SR,LANCER,乘用車,2020,6,194
SR,LANCER,乘用車,2020,7,171
SR,LANCER,乘用車,2020,8,160
SR,LANCER,乘用車,2020,9,78
SR,LANCER,乘用車,2020,10,89
SR,LANCER,乘用車,2020,11,146
SR,LANCER,乘用車,2020,12,160
RE,OUTLANDER,乘用車,2020,1,263
RE,OUTLANDER,乘用車,2020,2,181
RE,OUTLANDER,乘用車,2020,3,228
RE,OUTLANDER,乘用車,2020,4,226
RE,OUTLANDER,乘用車,2020,5,294
RE,OUTLANDER,乘用車,2020,6,339
RE,OUTLANDER,乘用車,2020,7,337
RE,OUTLANDER,乘用車,2020,8,304
RE,OUTLANDER,乘用車,2020,9,183
RE,OUTLANDER,乘用車,2020,10,200
RE,OUTLANDER,乘用車,2020,11,246
RE,OUTLANDER,乘用車,2020,12,299
AS,ZINGER,乘用車,2020,1,619
AS,ZINGER,乘用車,2020,2,444
AS,ZINGER,乘用車,2020,3,541
AS,ZINGER,乘用車,2020,4,471
AS,ZINGER,乘用車,2020,5,572
AS,ZINGER,乘用車,2020,6,836
AS,ZINGER,乘用車,2020,7,783
AS,ZINGER,乘用車,2020,8,650
AS,ZINGER,乘用車,2020,9,426
