Year,Month,Model,NOI,Category,CarType
2018,1,AS,1373,乘用車,ZINGER
2018,2,AS,693,乘用車,ZINGER
2018,3,AS,1067,乘用車,ZINGER
2018,4,AS,956,乘用車,ZINGER
2018,5,AS,1077,乘用車,ZINGER
2018,6,AS,1084,乘用車,ZINGER
2018,7,AS,1361,乘用車,ZINGER
2018,8,AS,847,乘用車,ZINGER
2018,9,AS,660,乘用車,ZINGER
2018,10,AS,939,乘用車,ZINGER
2018,11,AS,1170,乘用車,ZINGER
2018,12,AS,1234,乘用車,ZINGER
2019,1,AS,1124,乘用車,ZINGER
2019,2,AS,835,乘用車,ZINGER
2019,3,AS,1213,乘用車,ZINGER
2019,4,AS,1095,乘用車,ZINGER
2019,5,AS,1239,乘用車,ZINGER
2019,6,AS,1381,乘用車,ZINGER
2019,7,AS,1674,乘用車,ZINGER
2019,8,AS,775,乘用車,ZINGER
2019,9,AS,1074,乘用車,ZINGER
2019,10,AS,1239,乘用車,ZINGER
2019,11,AS,1263,乘用車,ZINGER
2019,12,AS,1267,乘用車,ZINGER
2020,1,AS,1011,乘用車,ZINGER
2020,2,AS,929,乘用車,ZINGER
2020,3,AS,1055,乘用車,ZINGER
2020,4,AS,907,乘用車,ZINGER
2020,5,AS,1047,乘用車,ZINGER
2020,6,AS,1160,乘用車,ZINGER
2020,7,AS,1265,乘用車,ZINGER
2020,8,AS,947,乘用車,ZINGER
2020,9,AS,803,乘用車,ZINGER
2020,10,AS,998,乘用車,ZINGER
2020,11,AS,1123,乘用車,ZINGER
2020,12,AS,1351,乘用車,ZINGER
2021,1,AS,1286,乘用車,ZINGER
2021,2,AS,679,乘用車,ZINGER
2021,3,AS,917,乘用車,ZINGER
2021,4,AS,859,乘用車,ZINGER
2021,5,AS,825,乘用車,ZINGER
2021,6,AS,746,乘用車,ZINGER
2021,7,AS,823,乘用車,ZINGER
2021,8,AS,795,乘用車,ZINGER
2021,9,AS,936,乘用車,ZINGER
2021,10,AS,940,乘用車,ZINGER
2021,11,AS,1025,乘用車,ZINGER
2021,12,AS,1189,乘用車,ZINGER
2022,1,AS,1138,乘用車,ZINGER
2022,2,AS,681,乘用車,ZINGER
2022,3,AS,970,乘用車,ZINGER
2022,4,AS,820,乘用車,ZINGER
2022,5,AS,754,乘用車,ZINGER
2022,6,AS,850,乘用車,ZINGER
2022,7,AS,994,乘用車,ZINGER
2022,8,AS,737,乘用車,ZINGER
2022,9,AS,813,乘用車,ZINGER
2022,10,AS,600,乘用車,ZINGER
2022,11,AS,800,乘用車,ZINGER
2022,12,AS,908,乘用車,ZINGER
2020,8,ASP,1,乘用車,ZINGER PIKCUP
2020,9,ASP,542,乘用車,ZINGER PIKCUP
2020,10,ASP,428,乘用車,ZINGER PIKCUP
2020,11,ASP,278,乘用車,ZINGER PIKCUP
2020,12,ASP,332,乘用車,ZINGER PIKCUP
2021,1,ASP,367,乘用車,ZINGER PIKCUP
2021,2,ASP,132,乘用車,ZINGER PIKCUP
2021,3,ASP,160,乘用車,ZINGER PIKCUP
2021,4,ASP,137,乘用車,ZINGER PIKCUP
2021,5,ASP,139,乘用車,ZINGER PIKCUP
2021,6,ASP,133,乘用車,ZINGER PIKCUP
2021,7,ASP,157,乘用車,ZINGER PIKCUP
2021,8,ASP,183,乘用車,ZINGER PIKCUP
2021,9,ASP,170,乘用車,ZINGER PIKCUP
2021,10,ASP,170,乘用車,ZINGER PIKCUP
2021,11,ASP,292,乘用車,ZINGER PIKCUP
2021,12,ASP,265,乘用車,ZINGER PIKCUP
2022,1,ASP,192,乘用車,ZINGER PIKCUP
2022,2,ASP,134,乘用車,ZINGER PIKCUP
2022,3,ASP,223,乘用車,ZINGER PIKCUP
2022,4,ASP,210,乘用車,ZINGER PIKCUP
2022,5,ASP,214,乘用車,ZINGER PIKCUP
2022,6,ASP,197,乘用車,ZINGER PIKCUP
2022,7,ASP,174,乘用車,ZINGER PIKCUP
2022,8,ASP,175,乘用車,ZINGER PIKCUP
2022,9,ASP,152,乘用車,ZINGER PIKCUP
2022,10,ASP,92,乘用車,ZINGER PIKCUP
