2021,,1,2/1~2/6,2//7~2/28,2,3,4,5,6,7,8/1~8/6,8/7~8/31,8,9,10,11,12
NPZ,外促,9000,9000,,1929,,,7000,7000,7000,7000,,1355,8000,8000,3000,3000
,共同,10300,10000,13000,12357,12300,12300,11100,11100,11000,11000,11000,11000,13000,13000,15600,5600
,常態,23650,23650,23650,23650,23650,23650,23650,23650,23650,23650,23650,23650,23650,23650,23650,23650
,專案,3000,3000,3000,3000,3000,3000,3000,3000,5300,5300,5300,5300,6650,6650,6000,6000
SR,外促,9000,9000,,1929,,,7000,7000,7000,7000,,1355,8000,8000,11000,11000
,共同,13300,13000,16000,15357,15300,15300,11100,11100,14000,14000,14000,14000,16000,16000,15600,15600
,常態,33250,33250,33250,33250,33250,33250,33250,33250,33250,33250,33250,33250,33250,33250,33250,33250
,專案,11700,11700,11700,11700,15800,15800,11700,11700,14400,17700,17700,17700,15000,11700,10000,10000
RE,外促,9000,9000,,1929,,,7000,7000,7000,7000,,1355,8000,8000,11000,11000
,共同,16300,16000,19000,18357,19300,19300,13300,13300,16000,16000,16000,16000,18000,18000,18500,18500
,常態,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700
,專案,18000,18000,18000,18000,11000,11000,9000,9000,17500,17500,17500,17500,29000,11000,11000,21000
AS,外促,9000,9000,,1929,,,7000,7000,7000,7000,,1355,8000,8000,11000,11000
,共同,9300,9000,12000,11357,12300,12300,11100,11100,12000,12000,12000,12000,14000,14000,13600,13600
,常態,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450
,專案,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6400,6400,6400,6400
ASP,外促,9000,9000,,1929,,,7000,7000,7000,7000,,1355,8000,8000,3000,3000
,共同,7300,7000,8500,8179,8800,8800,13300,13300,9500,9500,9500,9500,11500,11500,12600,12600
,常態,23710,23710,23710,23710,23710,23710,23710,23710,23710,23710,23710,23710,23710,23710,23710,23710
,專案,1000,1000,1000,1000,1000,1200,1200,1000,9200,12200,12200,12200,12200,11200,8200,8200
JD,外促,,,,0,,,,,,,,0,,,1600,1600
,競賽,,,,0,1515,2410,2713,895,895,895,900,899,795,795,795,795
,常態,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500
,專案,1000,1000,1000,1000,1500,1500,1500,2500,2500,2799,2800,2800,2800,2800,3800,5000
JDV,外促,,,,0,,,,,,,,0,,,1600,1600
,競賽,,,,0,1515,2410,2713,895,895,895,900,899,795,795,795,795
,常態,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500
,專案,700,700,700,700,1000,1000,1000,2000,2000,2299,2300,2300,2300,2300,2300,1000
DE,外促,,,,0,,,,,,,,0,,,,
,競賽,,,,0,1515,1515,1818,,,,,0,,,,
,常態,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
,專案,,,,0,,,,1000,1000,1299,1300,1300,1300,1300,1300,
DET,外促,,,,0,,,,,,,,0,,,,
,競賽,,,,0,1515,1515,1818,,,,,0,,,,
,常態,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,2800,7677,28000,28000,28000,28000
,專案,6000,6000,6000,6000,6000,6000,6000,7000,7000,7299,7300,7299.806452,7300,7750,7750,6450
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
