2022,,1,2,3,4,5,6,7,8,9,10,11,12
NPZ,外促,3000,,,,,,3000,3000,3000,,9000,9000
,共同,18000,18500,17000,16780,15980,19280,17780,20963,20963,25358,21290,21216
,常態,23550,23550,23550,25605,25605,25605,25605,25605,25605,25605,25605,25605
,專案,8500,6000,9500,5000,3000,3000,3000,3841,4402,4402,4402,4402
SR,外促,11000,,,,,,3000,3000,3000,,9000,9000
,共同,15500,18500,18500,16780,15980,19280,17780,20963,20963,27358,21290,21216
,常態,33250,33250,33250,35623,35623,35623,35623,35623,35623,35623,35623,35623
,專案,10000,10000,14500,10000,10000,10000,10000,10000,10000,10000,10000,10000
RE,外促,11000,20000,20000,20000,20000,11000,11000,11000,26000,16000,16000,16000
,共同,21000,20500,20500,18820,18020,21320,12820,13763,13763,28858,21290,21216
,常態,49700,50500,50500,51300,51300,51300,51300,51300,51300,51300,51300,51300
,專案,21000,9000,13500,9000,9000,9000,20000,20000,20000,20300,20300,20300
AS,外促,11000,,,,,,11000,11000,11000,,9000,9000
,共同,13500,16500,16500,16780,15980,19280,10780,17263,17263,20358,22290,22216
,常態,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450,37450
,專案,6400,6400,6400,6400,6400,6900,3900,3900,3900,6900,6900,6900
ASP,外促,3000,,,,,,3000,3000,3000,,9000,9000
,共同,12500,13000,13000,18820,18020,21320,19820,22463,22463,21858,19290,19216
,常態,23710,23710,23710,23710,23710,23710,23710,23710,23710,23710,23710,23710
,專案,,,,,,,,,,,,
JD,外促,1600,2000,2000,1750,1900,1900,1900,1900,1900,1900,1900,1900
,競賽,3295,2500,4229,5577,3270,3270,3270,3270,2500,2500,4000,2500
,常態,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500
,專案,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
JDV,外促,1600,1600,1600,1600,1900,1900,1900,1900,1900,1900,1900,1900
,競賽,795,,1729,3077,770,770,770,770,,,3000,3000
,常態,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500
,專案,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1800,1800
DE,外促,,,,,,,,,,,,
,競賽,,,1729,2799,,,,,,,,
,常態,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
,專案,,,,278,,,,,,,,
DET,外促,,,,,,,,,,,,
,競賽,,,1729,2799,,,,,,,,
,常態,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
,專案,6000,6000,7000,7000,7000,7000,7950,7950,8500,10000,10000,10000
CT,外促,,,,,,,,,,1800,1800,1800
,競賽,,,,,,,,,,6500,6500,65000
,常態,,,,,,,,,,28000,28000,28000
,專案,,,,,,,,,,3300,3000,3000
,,,,,,,,,,,,,
