Year,CarType,1,2,3,4,5,6,7,8,9,10,11,12,Total
2020,NPZ,439,222,380,304,400,598,673,502,378,428,550,459,"5,333"
2020,SR,151,90,129,109,169,194,171,160,78,89,146,160,"1,646"
2020,RE,263,181,228,226,294,339,337,304,183,200,246,299,"3,100"
2020,AS ,619,444,541,471,572,836,783,650,426,531,680,699,"7,252"
2020,ASP,0,0,0,0,0,0,0,0,153,145,119,108,525
2020,DE ,190,162,175,192,181,236,281,230,286,389,318,236,"2,876"
2020,DET ,426,490,513,494,627,659,762,555,568,586,650,400,"6,730"
2020,JDP,934,863,"1,069",999,"1,031",980,"1,304",906,980,"1,163","1,200",849,"12,278"
2020,JDV,262,246,280,239,259,334,385,281,255,323,333,346,"3,543"
2020,CP,1,24,0,0,1,120,158,119,137,12,0,0,572
