產品名稱,媒體別名稱,,"實際發稿量
(2016年全年)",%,"實際發稿量
(2017年全年)",%,"實際發稿量
(2018年全年)",%,"實際發稿量
(2019年全年)",%,"實際發稿量
(2020年全年)",%,"實際發稿量
(2021年全年)",%,"實際發稿量
(2022.01-11)",%
,,,,,,,,,,,,,,,,
Colt Plus,無線電視,,3130000,0.054380399,1112800,0.021811972,1684389,0.053104492,350000,0.014727322,0,0,0,0,569500,0.114481566
,有線電視,,32645078,0.567173284,25992130,0.509471243,12118552,0.38206706,1823516,0.07673002,0,0,0,0,628500,0.126341816
,報紙,,146476,0.002544864,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,695920,0.012090865,270000,0.005292265,100000,0.003152745,0,0,0,0,0,0,0,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,戶外,,1972363,0.034267696,1921270,0.037658777,0,0,978124,0.041157562,522857,0.030901016,0,0,0,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,5766271,0.100182786,8766365,0.171829353,8896889,0.280496236,11991797,0.504591579,10250125,0.605785673,2935000,0.479402829,0,0
,,口碑/內容操作,2059980,0.035789947,1535000,0.030087506,1330000,0.04193151,900000,0.037870256,1747400,0.1032719,2487200,0.406259188,3501600,0.703895791
,,影音廣告,11141415,0.193570159,11420290,0.223848886,7588560,0.239247957,7721916,0.324923261,4400000,0.26004141,700000,0.114337983,275000,0.055280827
,Total,,57557503,1,51017855,1,31718390,1,23765353,1,16920382,1,6122200,1,4974600,1
,,,,,,,,,,,,,,,,
Lancer,無線電視,,0,0,3253317,0.03468675,1267953,0.035162503,0,0,0,0,0,0,0,0
,有線電視,,0,0,45844794,0.488795555,12731353,0.35306217,0,0,0,0,0,0,0,0
,報紙,,0,0,752000,0.008017797,0,0,0,0,0,0,0,0,0,0
,雜誌,,72960,0.010252124,1407600,0.015007781,308000,0.008541366,0,0,0,0,0,0,0,0
,廣播,,0,0,1136571,0.012118079,307230,0.008520013,0,0,0,0,0,0,0,0
,戶外,,180000,0.025293069,2844270,0.030325505,960200,0.026627986,0,0,0,0,0,0,0,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,5856614,0.822954135,11207933,0.119498581,7978174,0.221248396,9500330,0.421359058,5894889,0.492341379,1807000,0.495214751,0,0
,,口碑/內容操作,207000,0.02908703,6915000,0.073727483,734910,0.02038031,1970770,0.087407678,2433285,0.203228066,1641922,0.44997454,1427600,1
,,影音廣告,800000,0.112413642,20429863,0.217822469,11771985,0.326457256,11075775,0.491233264,3645000,0.304430555,200000,0.054810708,0,0
,Total,,7116574,1,93791348,1,36059805,1,22546875,1,11973174,1,3648922,1,1427600,1
,,,,,,,,,,,,,,,,
Outlander,無線電視,,5154449,0.056208094,2185110,0.033126287,2994467,0.046788238,3185000,0.040684683,1965000,0.043199314,456000,0.014536262,1075000,0.041675
,有線電視,,48884100,0.533069993,42100638,0.638246046,33694017,0.526465544,29766971,0.380238554,15968600,0.351059833,2705017,0.086229901,11795750,0.457291053
,報紙,,252000,0.002748003,367048,0.005564451,0,0,0,0,0,0,0,0,0,0
,雜誌,,3625920,0.039539833,470000,0.007125204,220000,0.003437477,0,0,0,0,0,0,0,0
,廣播,,2768810,0.030193243,968046,0.014675586,1939173,0.030299378,2340393,0.029895808,185936,0.004087688,0,0,0,0
,戶外,,6981200,0.076128398,1612670,0.024448092,2995429,0.04680327,15253094,0.194840597,2212381,0.048637833,482000,0.015365084,400000,0.015506977
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,11548102,0.125929426,6143706,0.093138638,10512651,0.164259089,12507040,0.15976294,13956434,0.306823603,7212000,0.229902455,2976293,0.115383266
,,口碑/內容操作,3356254,0.036599187,2543260,0.038555844,3210000,0.050155919,1706667,0.021800693,4298908,0.094508844,13032809,0.415456847,7127798,0.276326495
,,影音廣告,9132132,0.099583823,9572544,0.145119852,8434685,0.131791084,13525824,0.172776725,6899574,0.151682884,7482000,0.238509452,2420000,0.093817209
,Total,,91702967,1,65963022,1,64000422,1,78284989,1,45486833,1,31369826,1,25794841,1
,,,,,,,,,,,,,,,,
Eclipse,無線電視,,0,0,1120000,0.042127374,4082117,0.053538903,2140000,0.031652057,0,0,0,0,410000,0.024749854
,有線電視,,0,0,15093044,0.567705629,39169064,0.513720879,24789215,0.366649367,28000,0.000985498,0,0,5026900,0.303451325
,報紙,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,1541840,0.413825348,241560,0.009085972,1825665,0.023944464,937000,0.013858868,0,0,0,0,0,0
,廣播,,0,0,0,0,349379,0.004582272,0,0,0,0,0,0,0,0
,戶外,,0,0,439200,0.016519949,2544763,0.033375775,3637457,0.053800465,0,0,0,0,0,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,1499383,0.402430013,300000,0.011284118,8742022,0.114655771,17882000,0.264486954,14101987,0.496338768,3334181,0.238737316,2217961,0.133888322
,,口碑/內容操作,684600,0.183744638,3680235,0.138427353,5890834,0.077261086,4767099,0.07050864,6842508,0.240831451,9526848,0.682150765,5672893,0.342447014
,,影音廣告,0,0,5712000,0.214849606,13641965,0.178920851,13457369,0.199043649,7439525,0.261844283,1104869,0.07911192,3238000,0.195463484
,Total,,3725823,1,26586039,1,76245809,1,67610140,1,28412020,1,13965898,1,16565754,1
,,,,,,,,,,,,,,,,
Zinger,無線電視,,1750519,0.082156273,3123708,0.106026021,2799463,0.078514249,2220000,0.065331797,1360000,0.051908383,890000,0.028045625,650000,0.028472987
,有線電視,,11827431,0.555091179,18925565,0.64237834,20017526,0.561415179,16182902,0.476242372,9848200,0.375885396,12111350,0.381652111,9149250,0.400779196
,報紙,,1704000,0.079973019,1852000,0.062861251,2573000,0.072162826,904000,0.026603579,0,0,0,0,0,0
,雜誌,,623760,0.029274631,704000,0.023895421,561000,0.015733908,741000,0.021806694,0,0,0,0,0,0
,廣播,,1619724,0.076017734,1807047,0.06133544,4609717,0.129284962,3675769,0.10817324,760006,0.029007855,420821,0.013260885,293475,0.012855554
,戶外,,850,3.98926E-05,0,0,0,0,1160000,0.034137335,0,0,0,0,0,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,356730,0.016742239,1149391,0.039013043,1040000,0.029168029,4907000,0.144406814,5951119,0.227141886,5513972,0.173755944,2221869,0.097328073
,,口碑/內容操作,124172,0.005827705,100000,0.003394236,0,0,240000,0.007062897,4164800,0.15896179,9975600,0.314350489,8094061,0.354557069
,,影音廣告,3300000,0.154877326,1800000,0.061096248,4054771,0.113720846,3949720,0.116235272,4115882,0.157094691,2822262,0.088934945,2420000,0.106007121
,Total,,21307186,1,29461711,1,35655477,1,33980391,1,26200007,1,31734005,1,22828655,1
,,,,,,,,,,,,,,,,
商車,無線電視,,4822257,0.110548185,1520000,0.091428923,1817537,0.073273166,2160600,0.06810298,2310000,0.083130147,5255000,0.117355899,6455000,0.109176595
,有線電視,,23573520,0.540412894,8217690,0.494299046,11214983,0.452126868,10854900,0.342150808,11051000,0.397693185,17298600,0.386316414,24124500,0.408029552
,報紙,,3004000,0.068865419,1252000,0.075308561,2304000,0.092884698,1852000,0.058375784,0,0,0,0,0,0
,雜誌,,803160,0.018412101,0,0,0,0,0,0,0,0,0,0,0,0
,廣播,,4100502,0.09400226,1885467,0.113411985,7613582,0.306938047,6736381,0.212333435,2963284,0.106639929,2358283,0.052665732,2923066,0.049439255
,戶外,,233431,0.005351306,0,0,0,0,3530500,0.111282778,0,0,0,0,0,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,展示型廣告,420394,0.009637353,949779,0.057129784,844845,0.034059537,3539402,0.111563373,3012108,0.108396962,1505589,0.033623169,4158201,0.070329702
,,口碑/內容操作,990000,0.022695328,300000,0.018045182,0,0,100000,0.00315204,5966640,0.214721932,10541220,0.23540901,11504280,0.194577555
,,影音廣告,5674049,0.130075154,2500000,0.150376519,1010000,0.040717684,2951701,0.093038801,2484721,0.089417845,7819628,0.174629776,9959347,0.168447342
,Total,,43621313,1,16624936,1,24804947,1,31725484,1,27787753,1,44778320,1,59124394,1
,,,,,,,,,,,,,,,,
全車系,無線電視,,6920156,0.045918295,2274033,0.025353763,3937074,0.027174446,3530000,0.029959992,3214000,0.040778171,3889000,0.042941083,1430000,0.032542657
,有線電視,,51054781,0.338771049,31011813,0.345758471,58499192,0.403772736,26791772,0.227388464,21623764,0.274355178,30265283,0.334179487,12508300,0.284652667
,報紙,,652000,0.004326308,2189047,0.024406233,953,6.57779E-06,1304000,0.011067374,0,0,0,0,0,0
,雜誌,,4295280,0.028501082,10000,0.000111493,0,0,0,0,0,0,0,0,0,0
,廣播,,3497403,0.023206816,1558691,0.017378236,3044879,0.021016344,2195362,0.018632586,699300,0.008872488,55064,0.000607999,0,0
,戶外,,9668815,0.064156863,4360747,0.048619061,1726045,0.011913496,1612000,0.013681447,0,0,6148856,0.067893683,0,0
,數位,關鍵字廣告,22205209,0.147341381,20892947,0.232940699,23481327,0.16207266,22507521,0.191026955,27248470,0.345719591,25061894,0.276725345,17603705,0.400609321
,,展示型廣告,23936887,0.158831831,6840241,0.07626356,10801775,0.07455594,14608786,0.123988417,6118685,0.077631855,10718447,0.118349632,1235000,0.028105022
,,口碑/內容操作,11691124,0.077575778,10464344,0.116669592,13318973,0.091930127,17402719,0.147701225,8633568,0.10953986,7853419,0.086714918,8095320,0.184226028
,,影音廣告,16784201,0.111370596,10090265,0.112498892,30071263,0.207557673,27871636,0.23655354,11278892,0.143102858,6573988,0.072587854,3070000,0.069864305
,Total,,150705856,1,89692128,1,144881481,1,117823796,1,78816679,1,90565951,1,43942325,1
,,,,,,,,,,,,,,,,
