產品名稱,媒體別名稱,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,"實際發稿量
(2022.01-11)"
Colt Plus,無線電視,,0,0,0,0,0,569500,0,0,0,0,0,,569500
,有線電視,,0,0,0,0,14000,614500,0,0,0,0,0,,628500
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,,0
,戶外,,0,0,0,0,0,0,0,0,0,0,0,,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,口碑/內容操作,298000,391400,568600,329800,84000,62200,787600,88200,246200,318400,327200,,3501600
,,影音廣告,0,0,0,275000,0,0,0,0,0,0,0,,275000
,Total,,298000,391400,568600,604800,98000,1246200,787600,88200,246200,318400,327200,0,4974600
Lancer,無線電視,,0,0,0,0,0,0,0,0,0,0,0,,0
,有線電視,,0,0,0,0,0,0,0,0,0,0,0,,0
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,,0
,戶外,,0,0,0,0,0,0,0,0,0,0,0,,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,口碑/內容操作,17800,31000,12200,12000,14000,6000,407000,9200,408800,503200,6400,,1427600
,,影音廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,Total,,17800,31000,12200,12000,14000,6000,407000,9200,408800,503200,6400,0,1427600
Outlander,無線電視,,0,190000,200000,225000,0,0,0,0,0,240000,220000,,1075000
,有線電視,,0,1227200,960200,1635950,1788400,1201000,0,0,0,3400000,1583000,,11795750
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,,0
,戶外,,0,0,0,0,0,0,0,0,0,400000,0,,400000
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,550000,700000,200000,450000,300000,110000,0,0,0,416293,250000,,2976293
,,口碑/內容操作,1285520,1549000,216584,785200,561000,595400,104400,280000,690094,330000,730600,,7127798
,,影音廣告,0,700000,0,0,200000,0,0,0,0,1100000,420000,,2420000
,Total,,1835520,4366200,1576784,3096150,2849400,1906400,104400,280000,690094,5886293,3203600,0,25794841
Eclipse,無線電視,,0,0,0,140000,0,0,0,0,180000,90000,0,,410000
,有線電視,,0,0,0,1674000,0,0,0,0,1611200,1741700,0,,5026900
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,,0
,戶外,,0,0,0,0,0,0,0,0,0,0,0,,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,220000,606871,200000,100000,150000,0,0,210000,100000,231090,400000,,2217961
,,口碑/內容操作,727200,477800,821400,873400,540000,510000,674200,260400,135000,348800,304693,,5672893
,,影音廣告,0,0,0,600000,520000,0,0,360000,200000,658000,900000,,3238000
,Total,,947200,1084671,1021400,3387400,1210000,510000,674200,830400,2226200,3069590,1604693,0,16565754
Zinger,無線電視,,0,0,0,0,0,0,100000,250000,300000,0,0,,650000
,有線電視,,0,0,0,0,0,0,1419500,4267750,3462000,0,0,,9149250
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,293475,0,0,0,,293475
,戶外,,0,0,0,0,0,0,0,0,0,0,0,,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,100000,200000,566869,55000,200000,0,0,500000,350000,100000,150000,,2221869
,,口碑/內容操作,1123400,352000,1768398,770400,582263,1009800,566800,711400,427400,270200,512000,,8094061
,,影音廣告,500000,0,0,0,220000,0,0,1000000,700000,0,0,,2420000
,Total,,1723400,552000,2335267,825400,1002263,1009800,2086300,7022625,5239400,370200,662000,0,22828655
商車,無線電視,,1420000,620000,760000,0,0,0,520000,0,0,2260000,875000,,6455000
,有線電視,,6651400,3587400,2900800,0,0,0,2490200,0,0,7124700,1370000,,24124500
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
