公司別,All,,
日別,All,,
,,,
來店數,,,
,,,合計
2018,1,AS,"1,373"
2018,1,BK5門,3
2018,1,CP,"1,681"
2018,1,DE,179
2018,1,DET,726
2018,1,GS41,4
2018,1,GS45X,1
2018,1,JD,2
2018,1,NPZ45,"1,028"
2018,1,NS,"1,164"
2018,1,RE,"1,059"
2018,1,RE-PHEV,4
2018,1,SD,25
2018,1,SR,509
2018,2,AS,693
2018,2,BK5門,3
2018,2,CP,824
2018,2,DE,113
2018,2,DET,391
2018,2,GS45X,1
2018,2,NPZ45,642
2018,2,NS,428
2018,2,RE,513
2018,2,SD,16
2018,2,SR,315
2018,2,ZC,1
2018,3,AS,"1,067"
2018,3,BK5門,2
2018,3,CP,"1,757"
2018,3,DE,252
2018,3,DET,891
2018,3,GS44S,1
2018,3,JD,2
2018,3,NPZ45,720
2018,3,NS,465
2018,3,RE,865
2018,3,SD,45
2018,3,SR,495
2018,3,ZC,1
2018,4,AS,956
2018,4,BK3門,1
2018,4,BK5門,3
2018,4,CP,"1,344"
2018,4,DE,209
2018,4,DET,580
2018,4,GS45X,1
2018,4,JD,1
2018,4,NPZ45,567
2018,4,NS,524
2018,4,RE,874
2018,4,RE-PHEV,2
2018,4,SD,25
2018,4,SR,372
2018,4,ZC,2
2018,5,AS,"1,077"
2018,5,BK5門,3
2018,5,CP,"1,302"
2018,5,DE,211
2018,5,DET,593
2018,5,GS41,2
2018,5,GS45X,1
2018,5,NPZ45,649
2018,5,NS,603
2018,5,RE,962
2018,5,RE-PHEV,1
2018,5,SD,30
2018,5,SR,416
2018,6,AS,"1,084"
2018,6,BK3門,1
2018,6,BK5門,2
2018,6,CP,"1,295"
2018,6,DE,222
2018,6,DET,582
2018,6,GS41,1
2018,6,NPZ45,839
2018,6,NS,484
2018,6,RE,905
2018,6,SD,51
2018,6,SR,369
2018,7,AS,"1,361"
2018,7,CP,"1,493"
2018,7,DE,211
2018,7,DET,717
2018,7,GS41,1
2018,7,JD,4
2018,7,NPZ45,"1,007"
2018,7,NS,629
2018,7,RE,962
2018,7,RE-PHEV,1
2018,7,SD,57
2018,7,SR,428
2018,8,AS,847
2018,8,BK5門,1
2018,8,CP,"1,184"
2018,8,DE,219
2018,8,DET,493
2018,8,GS41,2
2018,8,GS45X,1
2018,8,JD,3
2018,8,NPZ45,570
2018,8,NS,350
2018,8,RE,589
2018,8,SD,32
2018,8,SR,235
2018,8,ZC,1
2018,9,AS,660
2018,9,BK5門,2
2018,9,CP,"1,264"
2018,9,DE,197
2018,9,DET,645
2018,9,GS41,2
2018,9,JD,27
2018,9,NPZ45,633
2018,9,NS,625
2018,9,RE,798
2018,9,RE-PHEV,1
2018,9,SD,17
2018,9,SR,266
2018,10,AS,939
2018,10,BK5門,4
2018,10,CP,576
2018,10,DE,174
2018,10,DET,603
2018,10,GS41,3
2018,10,GS45X,1
2018,10,JD,"2,469"
2018,10,NPZ45,668
2018,10,NS,723
2018,10,RE,916
2018,10,RE-PHEV,1
2018,10,SD,16
2018,10,SR,641
2018,11,AS,"1,170"
2018,11,BK3門,1
2018,11,BK5門,10
2018,11,CP,294
2018,11,DE,158
2018,11,DET,537
2018,11,GS41,1
2018,11,GS45X,1
2018,11,JD,"1,583"
2018,11,NPZ45,665
2018,11,NS,631
2018,11,RE,"1,049"
2018,11,RE-PHEV,1
2018,11,SD,29
2018,11,SR,417
2018,12,AS,"1,234"
2018,12,BK5門,1
2018,12,CP,488
2018,12,DE,173
2018,12,DET,543
2018,12,JD,"1,529"
2018,12,NPZ45,"1,225"
2018,12,NS,882
2018,12,RE,"1,424"
2018,12,RE-PHEV,1
2018,12,SD,23
2018,12,SR,346
2019,1,AS,"1,124"
2019,1,BK5門,2
2019,1,CP,291
2019,1,DE,165
2019,1,DET,572
2019,1,ECP,1
2019,1,JD,"1,610"
2019,1,NPZ45,"1,187"
2019,1,NS,575
2019,1,RE,"1,350"
2019,1,RE-PHEV,2
2019,1,SD,25
2019,1,SR,316
2019,2,AS,835
2019,2,BK5門,1
2019,2,CP,218
2019,2,DE,140
2019,2,DET,467
2019,2,JD,"1,339"
2019,2,NPZ45,654
2019,2,NS,507
2019,2,RE,819
2019,2,RE-PHEV,1
2019,2,SD,17
2019,2,SR,227
2019,3,AS,"1,213"
2019,3,BK5門,3
2019,3,CP,271
2019,3,DE,172
2019,3,DET,703
2019,3,JD,"2,058"
2019,3,NPZ45,797
2019,3,NS,575
2019,3,RE,"1,099"
2019,3,RE-PHEV,3
2019,3,SD,22
2019,3,SR,251
2019,4,AS,"1,095"
2019,4,BK5門,1
2019,4,CP,163
2019,4,DE,147
2019,4,DET,672
2019,4,JD,"1,681"
2019,4,NPZ45,793
2019,4,NS,498
2019,4,RE,988
2019,4,RE-PHEV,1
2019,4,SD,27
2019,4,SR,255
2019,5,AS,"1,239"
2019,5,BK5門,4
2019,5,CP,170
2019,5,DE,149
2019,5,DET,609
2019,5,JD,"1,572"
2019,5,NPZ45,887
2019,5,NS,443
2019,5,RE,"1,175"
2019,5,SD,66
2019,5,SR,501
2019,6,AS,"1,381"
2019,6,BK5門,1
2019,6,CP,152
2019,6,DE,177
2019,6,DET,518
2019,6,JD,"1,466"
2019,6,NPZ45,"1,138"
2019,6,NS,551
2019,6,RE,"1,318"
2019,6,SD,59
2019,6,SR,434
2019,7,AS,"1,674"
2019,7,CP,165
2019,7,DE,169
2019,7,DET,556
2019,7,JD,"1,564"
2019,7,NPZ45,"1,548"
2019,7,NS,517
2019,7,RE,"1,425"
2019,7,SD,53
2019,7,SR,361
2019,8,AS,775
2019,8,BK5門,1
2019,8,CP,64
2019,8,DE,128
2019,8,DET,525
2019,8,JDP,"1,301"
2019,8,JDV,3
2019,8,NPZ45,584
2019,8,NS,524
2019,8,RE,543
2019,8,SD,17
2019,8,SR,364
2019,9,AS,"1,074"
2019,9,BK5門,2
2019,9,CP,57
2019,9,DE,399
2019,9,DET,870
2019,9,JDP,"1,340"
2019,9,JDV,303
2019,9,NPZ45,705
2019,9,NS,517
2019,9,RE,750
2019,9,SD,24
2019,9,SR,494
2019,10,AS,"1,239"
2019,10,BK5門,1
2019,10,CP,64
2019,10,DE,360
2019,10,DET,808
2019,10,JDP,"1,102"
2019,10,JDV,345
2019,10,NPZ45,628
2019,10,NS,540
2019,10,RE,866
2019,10,RE-PHEV,1
2019,10,SR,411
2019,11,AS,"1,263"
2019,11,CP,20
2019,11,DE,246
2019,11,DET,684
2019,11,JDP,"1,127"
2019,11,JDV,340
2019,11,NPZ45,961
2019,11,NS,528
2019,11,RE,865
2019,11,RE-PHEV,3
2019,11,SD,1
2019,11,SR,397
2019,12,AS,"1,267"
2019,12,BK5門,1
2019,12,CP,34
2019,12,DE,295
2019,12,DET,713
2019,12,JDP,"1,345"
2019,12,JDV,345
2019,12,NPZ45,"1,066"
2019,12,NS,535
2019,12,RE,853
2019,12,SD,1
2019,12,SR,475
2020,1,AS,"1,011"
2020,1,CP,8
2020,1,DE,223
2020,1,DET,395
2020,1,ECP,2
2020,1,JDP,827
2020,1,JDV,262
2020,1,NPZ45,905
2020,1,NS,323
2020,1,RE,652
2020,1,RE-PHEV,1
2020,1,SR,320
2020,2,AS,929
2020,2,CP,6
2020,2,DE,299
2020,2,DET,667
2020,2,ECP,1
2020,2,JDP,"1,423"
2020,2,JDV,378
2020,2,NPZ45,777
2020,2,NS,269
2020,2,RE,594
2020,2,RE-PHEV,1
2020,2,SR,301
2020,3,AS,"1,055"
2020,3,CP,31
2020,3,DE,345
2020,3,DET,731
2020,3,ECP,2
2020,3,JDP,"1,262"
2020,3,JDV,404
2020,3,NPZ45,834
2020,3,NS,680
2020,3,RE,738
2020,3,SR,322
2020,4,AS,907
2020,4,CP,10
2020,4,DE,288
2020,4,DET,729
2020,4,JDP,"1,292"
2020,4,JDV,403
2020,4,NPZ45,774
2020,4,NS,419
2020,4,RE,607
2020,4,SR,348
2020,5,AS,"1,047"
2020,5,CP,6
2020,5,DE,250
2020,5,DET,796
2020,5,JDP,"1,336"
2020,5,JDV,420
2020,5,NPZ45,992
2020,5,NS,350
2020,5,RE,721
2020,5,SR,392
2020,6,AS,"1,160"
2020,6,CP,158
2020,6,DE,289
2020,6,DET,866
2020,6,JDP,"1,401"
2020,6,JDV,499
2020,6,NPZ45,"1,230"
2020,6,NS,393
2020,6,RE,851
2020,6,SR,420
2020,7,AS,"1,265"
2020,7,BK5門,1
2020,7,CP,172
2020,7,DE,363
2020,7,DET,918
2020,7,JDP,"1,628"
2020,7,JDV,502
2020,7,NPZ45,"1,340"
2020,7,NS,332
2020,7,RE,917
2020,7,RE-PHEV,1
2020,7,SD,1
2020,7,SR,396
2020,8,AS,947
2020,8,ASP,1
2020,8,CP,135
2020,8,DE,244
2020,8,DET,679
2020,8,ECP,1
2020,8,JDP,"1,181"
2020,8,JDV,388
2020,8,NPZ45,"1,043"
2020,8,NS,259
2020,8,RE,722
2020,8,RE-PHEV,1
2020,8,SR,294
2020,9,AS,803
2020,9,ASP,542
2020,9,CP,146
2020,9,DE,348
2020,9,DET,748
2020,9,ECP,5
2020,9,JDP,"1,547"
2020,9,JDV,464
2020,9,NPZ45,712
2020,9,NS,249
2020,9,RE,510
2020,9,SR,192
2020,10,AS,998
2020,10,ASP,428
2020,10,CP,2
2020,10,DE,247
2020,10,DET,719
2020,10,ECP,6
2020,10,JDP,"1,466"
2020,10,JDV,458
2020,10,NPZ45,948
2020,10,NS,302
2020,10,RE,697
2020,10,RE-PHEV,1
2020,10,SR,285
2020,11,AS,"1,123"
2020,11,ASP,278
2020,11,CP,3
2020,11,DE,250
2020,11,DET,839
2020,11,ECP,3
2020,11,JDP,"1,658"
2020,11,JDV,505
2020,11,NPZ45,"1,166"
2020,11,NS,379
2020,11,RE,706
2020,11,SR,312
2020,12,AS,"1,351"
2020,12,ASP,332
2020,12,CP,1
2020,12,DE,333
2020,12,DET,"1,037"
2020,12,ECP,2
2020,12,JDP,"2,177"
2020,12,JDV,619
2020,12,NPZ45,"1,428"
2020,12,NS,188
2020,12,RE,818
2020,12,SR,331
2021,1,AS,"1,286"
2021,1,ASP,367
2021,1,BK5門,4
2021,1,CP,1
2021,1,DE,272
2021,1,DET,606
2021,1,ECP,5
2021,1,JDP,"1,229"
2021,1,JDV,415
2021,1,NPZ45,"1,455"
2021,1,NS,379
2021,1,RE,"1,014"
2021,1,RE-PHEV,1
2021,1,SR,387
